tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime
0.020728,0.591432,4399.63,-3875.58,85.3493,765.787,0.0421336,0.732182,0.004204
0.02061,0.585022,4399.63,-3875.59,84.7887,767.628,0.0422645,0.716266,0.0037637
0.020632,0.577693,4399.63,-3875.52,85.4364,767.75,0.0422806,0.703257,0.00397977
0.0206328,0.581189,4399.63,-3875.45,85.1406,767.232,0.0421432,0.713506,0.0039688
0.0207953,0.585823,4399.63,-3875.53,85.3605,767.107,0.0419845,0.709969,0.00348075
0.0208233,0.596558,4399.62,-3875.62,85.6818,766.281,0.0420798,0.718969,0.00382745
0.020493,0.608643,4399.64,-3875.55,84.3777,764.082,0.0416313,0.773659,0.00483652
0.020373,0.574038,4399.64,-3875.57,84.5969,768.454,0.0421394,0.706217,0.00342481
0.0205514,0.601733,4399.64,-3875.48,84.672,765.974,0.0421161,0.740532,0.00403522
0.0205237,0.595896,4399.64,-3875.55,85.3504,764.977,0.0420275,0.743241,0.00445212
0.0206733,0.570939,4399.63,-3875.37,85.1584,768.876,0.0423497,0.69181,0.0038127
0.0208162,0.585984,4399.62,-3875.48,84.5987,767.666,0.042471,0.7215,0.00389963
0.0203917,0.609829,4399.64,-3875.39,84.432,765.021,0.0421544,0.761354,0.00470756
0.0209091,0.575716,4399.62,-3875.61,85.2365,768.921,0.0423833,0.686121,0.00331448
0.0203033,0.581081,4399.64,-3875.56,84.0507,769.91,0.0426026,0.695276,0.00354932
0.0204639,0.60383,4399.64,-3875.53,84.605,765.644,0.0420273,0.745677,0.00397698
0.0203285,0.596499,4399.64,-3875.51,83.9595,766.923,0.0429092,0.748544,0.00453446
0.0207058,0.568124,4399.63,-3875.56,85.125,769.234,0.0424503,0.679239,0.00333648
0.0204409,0.602042,4399.64,-3875.46,84.3214,766.459,0.0422982,0.742618,0.00432668
0.020613,0.610988,4399.63,-3875.4,85.1589,764.286,0.0422839,0.759087,0.00413514
0.0205164,0.568394,4399.64,-3875.51,84.4634,770.056,0.0426715,0.676305,0.00304953
0.0206308,0.579725,4399.63,-3875.41,85.0702,768.505,0.0420849,0.695334,0.0036984
0.0206867,0.572763,4399.63,-3875.39,85.4454,768.62,0.0421827,0.68506,0.00348936
0.0204971,0.580889,4399.64,-3875.57,85.0835,768.109,0.0423304,0.704204,0.00353865
0.0201351,0.569846,4399.65,-3875.55,83.1701,770.25,0.0427295,0.709993,0.00384177
0.0205161,0.604273,4399.64,-3875.62,84.6396,764.733,0.0423091,0.764795,0.00434223
0.0201432,0.578798,4399.65,-3875.49,83.3407,770.989,0.0430179,0.695968,0.00357998
0.0207428,0.580336,4399.63,-3875.47,85.6661,767.315,0.0421012,0.703873,0.00402046
0.0202614,0.601357,4399.64,-3875.47,83.4474,767.234,0.042663,0.75087,0.0044251
0.0206576,0.602078,4399.63,-3875.39,85.2002,765.16,0.0418924,0.741725,0.00474784
0.0205741,0.579988,4399.63,-3875.57,85.1946,768.338,0.0426357,0.7017,0.00361794
0.0204679,0.597506,4399.64,-3875.55,84.6111,765.278,0.0418317,0.748927,0.00427234
0.0204649,0.604991,4399.64,-3875.51,84.9732,765.192,0.0421575,0.748471,0.00455762
0.0202585,0.584833,4399.64,-3875.53,83.3584,769.93,0.0428948,0.713798,0.00382247
0.0205621,0.599175,4399.63,-3875.49,84.5351,766.625,0.0422089,0.73388,0.0043469
0.0206646,0.595439,4399.63,-3875.56,85.6291,766.207,0.0419482,0.719802,0.00387912
0.0205072,0.594783,4399.64,-3875.41,84.4857,766.636,0.0424321,0.736849,0.00449136
0.020176,0.579217,4399.65,-3875.38,83.6012,770.012,0.0430834,0.708238,0.00349308
0.0202207,0.580193,4399.65,-3875.5,83.4799,769.94,0.0427212,0.709441,0.00397009
0.0206895,0.586223,4399.63,-3875.59,84.8652,767.57,0.0425306,0.718018,0.00400189
0.0204725,0.569755,4399.64,-3875.59,84.5525,769.414,0.0426663,0.696482,0.00361939
0.0207327,0.613422,4399.63,-3875.51,84.998,764.917,0.0428902,0.76258,0.00432564
0.020383,0.608472,4399.64,-3875.45,84.2557,764.354,0.0416784,0.772929,0.00526987
0.0205361,0.580594,4399.64,-3875.54,84.0805,768.943,0.0421263,0.705546,0.00281396
0.0205751,0.585303,4399.64,-3875.47,84.9589,768.218,0.0425043,0.706458,0.00358499
0.020476,0.612333,4399.64,-3875.47,84.2357,765.093,0.0421912,0.765637,0.0044414
0.0204848,0.604112,4399.64,-3875.62,84.2308,766.192,0.0426348,0.752236,0.00420486
0.0203391,0.596671,4399.64,-3875.55,83.4755,768.619,0.0427561,0.731845,0.00421689
0.020473,0.589912,4399.64,-3875.4,84.4759,767.769,0.0426057,0.723067,0.00398558
